Model,Algorithm,Requirement,Time
drone,SA,R1,2151.3060621
drone,SA,R2,2747.4229366
drone,SA,R3,2699.3049638
drone,UR,R1,2299.2597256
drone,UR,R2,1684.1674556
drone,UR,R3,2272.9125913
e-bike,SA,Req1,546.26147013
e-bike,SA,Req2,264.374536635
e-bike,SA,Req3,97.3360858283333
e-bike,SA,Req4,34.2023
e-bike,UR,Req1,546.374008281667
e-bike,UR,Req2,484.684962895
e-bike,UR,Req3,95.8579643833333
e-bike,UR,Req4,34.2084916666667
e-bike,SA,Req1,0
e-bike,SA,Req2,570.324745071667
e-bike,SA,Req3,212.93918056
e-bike,SA,Req4,60.49959
e-bike,UR,Req1,0
e-bike,UR,Req2,424.628528657143
e-bike,UR,Req3,283.29640059
e-bike,UR,Req4,54.3768233333333
