Model,Algorithm,Requirement,Time
drone,SA,R1,2601.13515808
drone,SA,R2,2502.3974035
drone,SA,R3,2725.83588507
drone,UR,R1,2525.01782075
drone,UR,R2,1715.2274083
drone,UR,R3,2416.98660346
e-bike,SA,Req2,444.569143783333
e-bike,SA,Req2,137.429936675
e-bike,SA,Req3,59.610287725
e-bike,SA,Req3,60.5041707833333
e-bike,SA,Req4,135.7553872
e-bike,SA,Req4,63.9533447
e-bike,UR,Req2,308.7077821
e-bike,UR,Req2,76.6703439
e-bike,UR,Req3,83.7287104
e-bike,UR,Req3,68.2519429
e-bike,UR,Req4,88.2013418
e-bike,UR,Req4,74.2203055
e-bike,SA,Req1,592.401806557292
e-bike,SA,Req1,897.541146885417
e-bike,SA,Req2,250.800659295833
e-bike,SA,Req2,171.940554720833
e-bike,SA,Req3,191.59392905
e-bike,SA,Req3,45.2321663541667
e-bike,SA,Req4,70.4286252
e-bike,SA,Req4,63.5424157
e-bike,UR,Req1,150.0321655
e-bike,UR,Req1,1767.91899175
e-bike,UR,Req2,127.288698
e-bike,UR,Req2,82.7905247
e-bike,UR,Req3,81.9873309
e-bike,UR,Req3,53.0609142
e-bike,UR,Req4,71.071219
e-bike,UR,Req4,55.9427657
