case_study;algorithm;tool;model;pts_ip;test_assessment;F;S_bar;S_hat
eBike;UR;HECATE;PWM;t-pyr-0;TA_R1;10;1.6;1
eBike;UR;HECATE;PWM;t-pyr-0;TA_R2;10;9.6;4
eBike;UR;HECATE;PWM;t-pyr-0;TA_R3;10;1.9;1.5
eBike;UR;HECATE;PWM;t-pyr-0;TA_R4;10;1;1
eBike;UR;HECATE;PWM;t-pyr-85;TA_R1;10;7.6;4
eBike;UR;HECATE;PWM;t-pyr-85;TA_R2;10;3;3
eBike;UR;HECATE;PWM;t-pyr-85;TA_R3;10;1;1
eBike;UR;HECATE;PWM;t-pyr-85;TA_R4;10;1;1
eBike;UR;HECATE;PWM;t-pyr-130;TA_R1;10;10.6;8.5
eBike;UR;HECATE;PWM;t-pyr-130;TA_R2;10;1.1;1
eBike;UR;HECATE;PWM;t-pyr-130;TA_R3;10;1;1
eBike;UR;HECATE;PWM;t-pyr-130;TA_R4;10;1;1
eBike;UR;HECATE;PWM;r-pulse-0;TA_R1;10;8.9;6
eBike;UR;HECATE;PWM;r-pulse-0;TA_R2;10;8.6;8.5
eBike;UR;HECATE;PWM;r-pulse-0;TA_R3;10;1.6;1
eBike;UR;HECATE;PWM;r-pulse-0;TA_R4;10;1;1
eBike;UR;HECATE;PWM;r-pulse-85;TA_R1;10;14.6;12.5
eBike;UR;HECATE;PWM;r-pulse-85;TA_R2;10;3;2.5
eBike;UR;HECATE;PWM;r-pulse-85;TA_R3;10;1;1
eBike;UR;HECATE;PWM;r-pulse-85;TA_R4;10;1;1
eBike;UR;HECATE;PWM;r-pulse-130;TA_R1;10;6.7;4
eBike;UR;HECATE;PWM;r-pulse-130;TA_R2;10;2.2;1.5
eBike;UR;HECATE;PWM;r-pulse-130;TA_R3;10;1;1
eBike;UR;HECATE;PWM;r-pulse-130;TA_R4;10;1;1
eBike;UR;HECATE;Buck;t-pyr-0;TA_R1;0;0;0
eBike;UR;HECATE;Buck;t-pyr-0;TA_R2;4;28.8;26
eBike;UR;HECATE;Buck;t-pyr-0;TA_R3;10;8.1;3
eBike;UR;HECATE;Buck;t-pyr-0;TA_R4;10;1.3;1
eBike;UR;HECATE;Buck;t-pyr-85;TA_R1;0;0;0
eBike;UR;HECATE;Buck;t-pyr-85;TA_R2;5;17.6;22
eBike;UR;HECATE;Buck;t-pyr-85;TA_R3;10;4.3;4
eBike;UR;HECATE;Buck;t-pyr-85;TA_R4;10;1;1
eBike;UR;HECATE;Buck;t-pyr-130;TA_R1;0;0;0
eBike;UR;HECATE;Buck;t-pyr-130;TA_R2;10;1.9;1
eBike;UR;HECATE;Buck;t-pyr-130;TA_R3;10;2.1;1.5
eBike;UR;HECATE;Buck;t-pyr-130;TA_R4;10;1;1
eBike;UR;HECATE;Buck;r-pulse-0;TA_R1;0;0;0
eBike;UR;HECATE;Buck;r-pulse-0;TA_R2;10;2.9;2
eBike;UR;HECATE;Buck;r-pulse-0;TA_R3;10;7.3;7.5
eBike;UR;HECATE;Buck;r-pulse-0;TA_R4;10;1.1;1
eBike;UR;HECATE;Buck;r-pulse-85;TA_R1;0;0;0
eBike;UR;HECATE;Buck;r-pulse-85;TA_R2;10;2.4;2
eBike;UR;HECATE;Buck;r-pulse-85;TA_R3;10;1.6;1.5
eBike;UR;HECATE;Buck;r-pulse-85;TA_R4;10;1;1
eBike;UR;HECATE;Buck;r-pulse-130;TA_R1;0;0;0
eBike;UR;HECATE;Buck;r-pulse-130;TA_R2;10;2.7;3
eBike;UR;HECATE;Buck;r-pulse-130;TA_R3;10;1;1
eBike;UR;HECATE;Buck;r-pulse-130;TA_R4;10;1;1
eBike;UR;S-TaLiRo;PWM;pchip;TA_R1;10;2.4;2
eBike;UR;S-TaLiRo;PWM;pchip;TA_R2;10;1.8;1
eBike;UR;S-TaLiRo;PWM;pchip;TA_R3;10;1.1;1
eBike;UR;S-TaLiRo;PWM;pchip;TA_R4;10;1;1
eBike;UR;S-TaLiRo;PWM;pconst;TA_R1;4;41.3;45
eBike;UR;S-TaLiRo;PWM;pconst;TA_R2;10;1.5;1.5
eBike;UR;S-TaLiRo;PWM;pconst;TA_R3;10;1;1
eBike;UR;S-TaLiRo;PWM;pconst;TA_R4;10;1;1
eBike;UR;S-TaLiRo;Buck;pchip;TA_R1;0;0;0
eBike;UR;S-TaLiRo;Buck;pchip;TA_R2;10;5.5;4
eBike;UR;S-TaLiRo;Buck;pchip;TA_R3;10;1.3;1
eBike;UR;S-TaLiRo;Buck;pchip;TA_R4;10;1.2;1
eBike;UR;S-TaLiRo;Buck;pconst;TA_R1;0;0;0
eBike;UR;S-TaLiRo;Buck;pconst;TA_R2;10;1.4;1
eBike;UR;S-TaLiRo;Buck;pconst;TA_R3;10;1;1
eBike;UR;S-TaLiRo;Buck;pconst;TA_R4;10;1;1
eBike;SA;HECATE;PWM;t-pyr-0;TA_R1;10;1.8;1.5
eBike;SA;HECATE;PWM;t-pyr-0;TA_R2;10;8.2;7.5
eBike;SA;HECATE;PWM;t-pyr-0;TA_R3;10;1.8;1
eBike;SA;HECATE;PWM;t-pyr-0;TA_R4;10;1;1
eBike;SA;HECATE;PWM;t-pyr-85;TA_R1;10;7.6;4
eBike;SA;HECATE;PWM;t-pyr-85;TA_R2;10;3.9;4
eBike;SA;HECATE;PWM;t-pyr-85;TA_R3;10;1;1
eBike;SA;HECATE;PWM;t-pyr-85;TA_R4;10;1;1
eBike;SA;HECATE;PWM;t-pyr-130;TA_R1;10;4.4;3
eBike;SA;HECATE;PWM;t-pyr-130;TA_R2;10;1.8;1
eBike;SA;HECATE;PWM;t-pyr-130;TA_R3;10;1;1
eBike;SA;HECATE;PWM;t-pyr-130;TA_R4;10;1;1
eBike;SA;HECATE;PWM;r-pulse-0;TA_R1;10;12.9;12.5
eBike;SA;HECATE;PWM;r-pulse-0;TA_R2;10;4.7;4
eBike;SA;HECATE;PWM;r-pulse-0;TA_R3;10;2.7;2
eBike;SA;HECATE;PWM;r-pulse-0;TA_R4;10;1;1
eBike;SA;HECATE;PWM;r-pulse-85;TA_R1;10;15.2;13.5
eBike;SA;HECATE;PWM;r-pulse-85;TA_R2;10;2.6;2
eBike;SA;HECATE;PWM;r-pulse-85;TA_R3;10;1;1
eBike;SA;HECATE;PWM;r-pulse-85;TA_R4;10;1;1
eBike;SA;HECATE;PWM;r-pulse-130;TA_R1;10;10.2;8
eBike;SA;HECATE;PWM;r-pulse-130;TA_R2;10;2.8;1.5
eBike;SA;HECATE;PWM;r-pulse-130;TA_R3;10;1;1
eBike;SA;HECATE;PWM;r-pulse-130;TA_R4;10;1;1
eBike;SA;HECATE;Buck;t-pyr-0;TA_R1;0;0;0
eBike;SA;HECATE;Buck;t-pyr-0;TA_R2;10;15.3;14
eBike;SA;HECATE;Buck;t-pyr-0;TA_R3;10;2.9;2
eBike;SA;HECATE;Buck;t-pyr-0;TA_R4;10;1.7;1
eBike;SA;HECATE;Buck;t-pyr-85;TA_R1;0;0;0
eBike;SA;HECATE;Buck;t-pyr-85;TA_R2;10;19.5;18
eBike;SA;HECATE;Buck;t-pyr-85;TA_R3;10;3.1;2.5
eBike;SA;HECATE;Buck;t-pyr-85;TA_R4;10;1;1
eBike;SA;HECATE;Buck;t-pyr-130;TA_R1;0;0;0
eBike;SA;HECATE;Buck;t-pyr-130;TA_R2;10;3.7;2
eBike;SA;HECATE;Buck;t-pyr-130;TA_R3;10;2.3;1
